subject_id,session_id,block_index,rewarded_modality,vis_dprime,aud_dprime,cross_modality_dprime,is_first_block_aud,target,response_rate
626791,626791_2022-08-15,0,vis,2.516339785032338,-0.39523751317825573,3.0732675211951777,false,aud,0.15
626791,626791_2022-08-15,0,vis,2.516339785032338,-0.39523751317825573,3.0732675211951777,false,vis,1.0
626791,626791_2022-08-15,1,aud,-1.0211106338487372,1.5348986686804,1.438862250154771,false,vis,0.4375
626791,626791_2022-08-15,1,aud,-1.0211106338487372,1.5348986686804,1.438862250154771,false,aud,1.0
626791,626791_2022-08-15,2,vis,2.2037602275876456,-0.610612347156432,1.4919759855326094,false,vis,1.0
626791,626791_2022-08-15,2,vis,2.2037602275876456,-0.610612347156432,1.4919759855326094,false,aud,0.6875
626791,626791_2022-08-15,3,aud,-1.2109889126058269,1.779951614747349,0.12604934872413942,false,aud,1.0
626791,626791_2022-08-15,3,aud,-1.2109889126058269,1.779951614747349,0.12604934872413942,false,vis,1.0
626791,626791_2022-08-15,4,vis,3.055519590076932,-0.8780724355617675,1.87937590170128,false,vis,1.0
626791,626791_2022-08-15,4,vis,3.055519590076932,-0.8780724355617675,1.87937590170128,false,aud,0.5555555555555556
626791,626791_2022-08-15,5,aud,-0.9606104686861593,2.4891999802206497,2.223431400046347,false,vis,0.4117647058823529
626791,626791_2022-08-15,5,aud,-0.9606104686861593,2.4891999802206497,2.223431400046347,false,aud,1.0
644864,644864_2023-01-30,0,vis,3.0211704767335235,-0.3212870070325067,2.643204708481601,false,vis,1.0
644864,644864_2023-01-30,0,vis,3.0211704767335235,-0.3212870070325067,2.643204708481601,false,aud,0.2777777777777778
644864,644864_2023-01-30,1,aud,-1.7982212119709666,1.2322377513410876,1.5573284783704375,false,vis,0.6842105263157895
644864,644864_2023-01-30,1,aud,-1.7982212119709666,1.2322377513410876,1.5573284783704375,false,aud,1.0
644864,644864_2023-01-30,2,vis,2.4142260755299416,-1.2634417606567472,1.4031941309216869,false,aud,0.7368421052631579
644864,644864_2023-01-30,2,vis,2.4142260755299416,-1.2634417606567472,1.4031941309216869,false,vis,1.0
644864,644864_2023-01-30,3,aud,-1.2164092268704856,2.516339785032338,1.9708223193255472,false,aud,1.0
644864,644864_2023-01-30,3,aud,-1.2164092268704856,2.516339785032338,1.9708223193255472,false,vis,0.5263157894736842
644864,644864_2023-01-30,4,vis,2.878455365274302,-0.9568160168775208,1.5124336189933472,false,vis,1.0
644864,644864_2023-01-30,4,vis,2.878455365274302,-0.9568160168775208,1.5124336189933472,false,aud,0.7
644864,644864_2023-01-30,5,aud,-1.2808658242758564,2.396478144411696,1.87937590170128,false,vis,0.5555555555555556
644864,644864_2023-01-30,5,aud,-1.2808658242758564,2.396478144411696,1.87937590170128,false,aud,1.0
644864,644864_2023-01-31,0,aud,-1.9175663697230436,1.7066168814042544,1.876312250632925,true,vis,0.5333333333333333
644864,644864_2023-01-31,0,aud,-1.9175663697230436,1.7066168814042544,1.876312250632925,true,aud,1.0
644864,644864_2023-01-31,1,vis,2.7406084845654854,-0.2696521981040845,1.2543765267967553,true,vis,1.0
644864,644864_2023-01-31,1,vis,2.7406084845654854,-0.2696521981040845,1.2543765267967553,true,aud,0.7777777777777778
644864,644864_2023-01-31,2,aud,-1.6322896779930491,2.036834131701388,2.626289929551166,true,vis,0.2777777777777778
644864,644864_2023-01-31,2,aud,-1.6322896779930491,2.036834131701388,2.626289929551166,true,aud,1.0
644864,644864_2023-01-31,3,vis,3.3006377661277426,-0.6858119905876092,1.3854461998034413,true,vis,1.0
644864,644864_2023-01-31,3,vis,3.3006377661277426,-0.6858119905876092,1.3854461998034413,true,aud,0.7368421052631579
644864,644864_2023-01-31,4,aud,-1.6239258441682314,1.985011499258045,1.4783172929864457,true,vis,0.6
644864,644864_2023-01-31,4,aud,-1.6239258441682314,1.985011499258045,1.4783172929864457,true,aud,0.9473684210526315
644864,644864_2023-01-31,5,vis,3.0042556978030888,-0.9705099447511277,1.4031941309216869,true,aud,0.7368421052631579
644864,644864_2023-01-31,5,vis,3.0042556978030888,-0.9705099447511277,1.4031941309216869,true,vis,1.0
644864,644864_2023-02-02,0,aud,-0.7391605799574221,2.3660728630548467,2.3581443404758327,true,vis,0.35294117647058826
644864,644864_2023-02-02,0,aud,-0.7391605799574221,2.3660728630548467,2.3581443404758327,true,aud,1.0
644864,644864_2023-02-02,1,vis,3.6566903903396577,-0.023425685797271445,3.6566903903396577,true,aud,0.05263157894736842
644864,644864_2023-02-02,1,vis,3.6566903903396577,-0.023425685797271445,3.6566903903396577,true,vis,1.0
644864,644864_2023-02-02,2,aud,-1.435000171724607,2.5898793669557585,2.282639716168488,true,aud,1.0
644864,644864_2023-02-02,2,aud,-1.435000171724607,2.5898793669557585,2.282639716168488,true,vis,0.3888888888888889
644864,644864_2023-02-02,3,vis,3.318385697245988,-0.6784124189954541,2.2901812348371875,true,aud,0.4
644864,644864_2023-02-02,3,vis,3.318385697245988,-0.6784124189954541,2.2901812348371875,true,vis,1.0
644864,644864_2023-02-02,4,aud,-1.1952543107536675,3.318385697245988,2.4221545981089556,true,vis,0.35
644864,644864_2023-02-02,4,aud,-1.1952543107536675,3.318385697245988,2.4221545981089556,true,aud,1.0
644864,644864_2023-02-02,5,vis,2.356172176014399,-0.9922934022430004,1.5362045247311407,true,aud,0.5333333333333333
644864,644864_2023-02-02,5,vis,2.356172176014399,-0.9922934022430004,1.5362045247311407,true,vis,1.0
644866,644866_2023-02-07,0,vis,2.841430512061688,-1.2384417005577113,2.7113238818974694,false,aud,0.25
644866,644866_2023-02-07,0,vis,2.841430512061688,-1.2384417005577113,2.7113238818974694,false,vis,1.0
644866,644866_2023-02-07,1,aud,-1.7502629019087856,-0.4646525565502351,-0.4646525565502351,false,aud,0.8666666666666667
644866,644866_2023-02-07,1,aud,-1.7502629019087856,-0.4646525565502351,-0.4646525565502351,false,vis,0.9333333333333333
644866,644866_2023-02-07,2,vis,3.714755457846524,-1.0838211352932137,2.195563177750125,false,vis,1.0
644866,644866_2023-02-07,2,vis,3.714755457846524,-1.0838211352932137,2.195563177750125,false,aud,0.45
644866,644866_2023-02-07,3,aud,-1.2109889126058269,0.16650893329006555,1.9167718351988512,false,aud,1.0
644866,644866_2023-02-07,3,aud,-1.2109889126058269,0.16650893329006555,1.9167718351988512,false,vis,0.5333333333333333
644866,644866_2023-02-07,4,vis,3.0211704767335235,-1.5371138812270035,0.8331085617844729,false,vis,1.0
644866,644866_2023-02-07,4,vis,3.0211704767335235,-1.5371138812270035,0.8331085617844729,false,aud,0.8888888888888888
644866,644866_2023-02-07,5,aud,-0.3725784691757006,0.9922934022430003,1.0692049620295276,false,vis,0.7777777777777778
644866,644866_2023-02-07,5,aud,-0.3725784691757006,0.9922934022430003,1.0692049620295276,false,aud,1.0
644866,644866_2023-02-08,0,aud,0.0,0.44361531367833784,1.8376328069121208,true,vis,0.5789473684210527
644866,644866_2023-02-08,0,aud,0.0,0.44361531367833784,1.8376328069121208,true,aud,1.0
644866,644866_2023-02-08,1,vis,3.6015606030631866,-0.7276743922997388,1.6061068324059304,true,vis,1.0
644866,644866_2023-02-08,1,vis,3.6015606030631866,-0.7276743922997388,1.6061068324059304,true,aud,0.6666666666666666
644866,644866_2023-02-08,2,aud,-0.2930778839013559,0.11581739977899286,1.4201089098521216,true,aud,1.0
644866,644866_2023-02-08,2,aud,-0.2930778839013559,0.11581739977899286,1.4201089098521216,true,vis,0.7368421052631579
644866,644866_2023-02-08,3,vis,3.957017711435971,-0.04545815948449716,2.1447475474382163,true,vis,1.0
644866,644866_2023-02-08,3,vis,3.957017711435971,-0.04545815948449716,2.1447475474382163,true,aud,0.45
644866,644866_2023-02-08,4,aud,-0.024995864722127337,0.7721973450872222,2.0537489106318225,true,vis,0.5
644866,644866_2023-02-08,4,aud,-0.024995864722127337,0.7721973450872222,2.0537489106318225,true,aud,1.0
644866,644866_2023-02-08,5,vis,3.688617582104998,-1.1553676041797543,2.425175821448251,true,vis,1.0
644866,644866_2023-02-08,5,vis,3.688617582104998,-1.1553676041797543,2.425175821448251,true,aud,0.25
644866,644866_2023-02-09,0,vis,3.6300529497244387,-1.3042915100731278,2.670474132481089,false,vis,1.0
644866,644866_2023-02-09,0,vis,3.6300529497244387,-1.3042915100731278,2.670474132481089,false,aud,0.2631578947368421
644866,644866_2023-02-09,1,aud,-0.4038109665002825,0.10583244430069705,2.2301917245831193,false,vis,0.3157894736842105
644866,644866_2023-02-09,1,aud,-0.4038109665002825,0.10583244430069705,2.2301917245831193,false,aud,1.0
644866,644866_2023-02-09,2,vis,3.6816877586528607,-1.2808658242758564,2.319050278763896,false,vis,1.0
644866,644866_2023-02-09,2,vis,3.6816877586528607,-1.2808658242758564,2.319050278763896,false,aud,0.3888888888888889
644866,644866_2023-02-09,3,aud,0.0,0.42586738256009227,2.0190862005831423,false,vis,0.5
644866,644866_2023-02-09,3,aud,0.0,0.42586738256009227,2.0190862005831423,false,aud,1.0
644866,644866_2023-02-09,4,vis,3.9916804214846513,0.04545815948449716,3.2743892594791726,false,vis,1.0
644866,644866_2023-02-09,4,vis,3.9916804214846513,0.04545815948449716,3.2743892594791726,false,aud,0.1111111111111111
644866,644866_2023-02-09,5,aud,-0.6938654762082073,1.2321696531787785,0.9469656327233417,false,aud,0.9444444444444444
644866,644866_2023-02-09,5,aud,-0.6938654762082073,1.2321696531787785,0.9469656327233417,false,vis,0.7777777777777778
644866,644866_2023-02-10,0,aud,-0.3180752522145589,0.18517156476722763,1.8198848757938753,true,aud,1.0
