block_index,rewarded_modality,target,isfirst_block_aud,response_rate_mean,cross_modality_dprime_mean,signed_cross_modality_dprime_mean,aud_dprime_mean,vis_dprime_mean,n_subjects,n_sessions
0,vis,aud,false,0.21553422077673884,2.7304626549336835,2.7304626549336835,-0.42317556973888715,3.284347335323935,30,45
0,vis,vis,false,0.968639156442304,2.7304626549336835,2.7304626549336835,-0.42317556973888715,3.284347335323935,30,45
1,aud,vis,false,0.3955217496355267,1.8571295161634311,-1.8571295161634311,1.9609130186700312,-0.346079634621528,30,45
1,aud,aud,false,0.9438120628368306,1.8571295161634311,-1.8571295161634311,1.9609130186700312,-0.346079634621528,30,45
2,vis,aud,false,0.3274045407636739,2.2270195062542304,2.2270195062542304,-0.6135475733626559,3.1854874252708263,30,45
2,vis,vis,false,0.9675062656641604,2.2270195062542304,2.2270195062542304,-0.6135475733626559,3.1854874252708263,30,45
3,aud,vis,false,0.4447124346814749,1.8248411152621922,-1.8248411152621922,2.237547925784687,-0.5774768634878779,30,45
3,aud,aud,false,0.9603996513987484,1.8248411152621922,-1.8248411152621922,2.237547925784687,-0.5774768634878779,30,45
4,vis,vis,false,0.8767725277245402,1.9079039715704162,1.9079039715704162,-0.5970892599132979,3.032592894647519,30,45
4,vis,aud,false,0.35825083883455916,1.9079039715704162,1.9079039715704162,-0.5970892599132979,3.032592894647519,30,45
5,aud,vis,false,0.3783254705390929,1.6461877085694832,-1.6461877085694832,2.016997722976546,-0.39394655956571484,30,45
5,aud,aud,false,0.8691671717419911,1.6461877085694832,-1.6461877085694832,2.016997722976546,-0.3939465595657149,30,45
0,aud,vis,true,0.37482164490510167,2.360621187152217,-2.360621187152217,2.0093455082976774,-0.2684525762368379,23,37
0,aud,aud,true,0.9879354182557843,2.360621187152217,-2.360621187152217,2.009345508297678,-0.2684525762368378,23,37
1,vis,vis,true,0.9604474377643714,1.943673095681462,1.943673095681462,-0.5920564062974564,3.200015751507359,23,37
1,vis,aud,true,0.3979768528311401,1.943673095681462,1.943673095681462,-0.5920564062974564,3.200015751507359,23,37
2,aud,aud,true,0.9602030438414878,1.7798617255426914,-1.7798617255426914,1.9276902604807802,-0.30737106594930064,23,37
2,aud,vis,true,0.45136222554111904,1.7798617255426914,-1.7798617255426914,1.9276902604807802,-0.30737106594930064,23,37
3,vis,aud,true,0.32710473968382164,2.293125915800544,2.293125915800544,-0.48750236008926284,3.362663630266004,23,37
3,vis,vis,true,0.9576979266153449,2.293125915800544,2.293125915800544,-0.48750236008926284,3.362663630266004,23,37
4,aud,vis,true,0.39021523282359194,1.9375238129745644,-1.9375238129745644,2.1061603038800807,-0.35309368901317933,22,36
4,aud,aud,true,0.9503610668084352,1.9375238129745644,-1.9375238129745644,2.1061603038800807,-0.35309368901317933,22,36
5,vis,vis,true,0.9376967186423983,2.101551393524383,2.101551393524383,-0.5396973434863496,3.1092694216510086,22,36
5,vis,aud,true,0.334031095466854,2.101551393524383,2.101551393524383,-0.5396973434863496,3.1092694216510086,22,36
