session_id,subject_id,is_behavior_pass,session_type
703882_2024-04-23,703882,false,brainwide
703882_2024-04-25,703882,false,brainwide
708016_2024-04-29,708016,true,brainwide
708016_2024-04-29,708016,false,brainwide
712815_2024-05-21,712815,true,brainwide
712815_2024-05-21,712815,false,brainwide
712815_2024-05-22,712815,true,brainwide
712815_2024-05-22,712815,false,brainwide
713655_2024-08-05,713655,true,brainwide
713655_2024-08-05,713655,false,brainwide
713655_2024-08-06,713655,true,brainwide
713655_2024-08-06,713655,false,brainwide
713655_2024-08-07,713655,true,brainwide
713655_2024-08-07,713655,false,brainwide
713655_2024-08-08,713655,true,brainwide
713655_2024-08-08,713655,false,brainwide
713655_2024-08-09,713655,true,brainwide
713655_2024-08-09,713655,false,brainwide
714748_2024-06-24,714748,true,brainwide
714748_2024-06-24,714748,false,brainwide
714748_2024-06-25,714748,false,brainwide
714748_2024-06-26,714748,true,brainwide
714748_2024-06-26,714748,false,brainwide
714748_2024-06-27,714748,true,brainwide
714748_2024-06-27,714748,false,brainwide
714753_2024-07-01,714753,true,brainwide
714753_2024-07-01,714753,false,brainwide
714753_2024-07-02,714753,true,brainwide
714753_2024-07-02,714753,false,brainwide
715710_2024-07-15,715710,true,brainwide
715710_2024-07-15,715710,false,brainwide
715710_2024-07-16,715710,true,brainwide
715710_2024-07-16,715710,false,brainwide
715710_2024-07-17,715710,true,brainwide
715710_2024-07-17,715710,false,brainwide
715710_2024-07-18,715710,true,brainwide
715710_2024-07-18,715710,false,brainwide
715710_2024-07-19,715710,true,brainwide
715710_2024-07-19,715710,false,brainwide
726088_2024-06-17,726088,false,brainwide
726088_2024-06-18,726088,false,brainwide
726088_2024-06-21,726088,false,brainwide
733780_2024-08-26,733780,false,brainwide
733780_2024-08-29,733780,false,brainwide
733780_2024-08-30,733780,false,brainwide
733780_2024-09-03,733780,false,brainwide
733780_2024-09-04,733780,true,brainwide
733780_2024-09-04,733780,false,brainwide
733780_2024-09-06,733780,false,brainwide
733891_2024-09-18,733891,true,brainwide
733891_2024-09-18,733891,false,brainwide
733891_2024-09-20,733891,false,brainwide
737403_2024-09-24,737403,true,brainwide
