subject_id,session_id,block_index,rewarded_modality,cross_modality_dprime,is_first_block_aud,target,response_rate
644866,644866_2023-02-09,0,vis,2.670474132481089,false,aud,0.2631578947368421
644866,644866_2023-02-09,1,aud,2.2301917245831193,false,vis,0.3157894736842105
644866,644866_2023-02-09,1,aud,2.2301917245831193,false,aud,1.0
644866,644866_2023-02-09,2,vis,2.319050278763896,false,vis,1.0
644866,644866_2023-02-09,2,vis,2.319050278763896,false,aud,0.3888888888888889
644866,644866_2023-02-09,3,aud,2.0190862005831423,false,vis,0.5
644866,644866_2023-02-09,3,aud,2.0190862005831423,false,aud,1.0
644866,644866_2023-02-09,4,vis,3.2743892594791726,false,vis,1.0
644866,644866_2023-02-09,4,vis,3.2743892594791726,false,aud,0.1111111111111111
644866,644866_2023-02-09,5,aud,0.9469656327233417,false,aud,0.9444444444444444
644866,644866_2023-02-09,5,aud,0.9469656327233417,false,vis,0.7777777777777778
644866,644866_2023-02-10,0,aud,1.8198848757938753,true,aud,1.0
644866,644866_2023-02-10,0,aud,1.8198848757938753,true,vis,0.5789473684210527
644866,644866_2023-02-10,1,vis,2.533254563962773,true,aud,0.3157894736842105
644866,644866_2023-02-10,1,vis,2.533254563962773,true,vis,1.0
644866,644866_2023-02-10,2,aud,2.56048128571223,true,aud,1.0
644866,644866_2023-02-10,2,aud,2.56048128571223,true,vis,0.29411764705882354
644866,644866_2023-02-10,3,vis,2.6873889114115235,true,aud,0.2631578947368421
644866,644866_2023-02-10,3,vis,2.6873889114115235,true,vis,1.0
644866,644866_2023-02-10,4,aud,3.0132159616668455,true,aud,1.0
644866,644866_2023-02-10,4,aud,3.0132159616668455,true,vis,0.1
644866,644866_2023-02-10,5,vis,2.425175821448251,true,aud,0.25
644866,644866_2023-02-10,5,vis,2.425175821448251,true,vis,0.95
644867,644867_2023-02-20,0,vis,2.7752711946141657,false,aud,0.23529411764705882
644867,644867_2023-02-20,0,vis,2.7752711946141657,false,vis,1.0
644867,644867_2023-02-20,1,aud,2.242094031523509,false,aud,1.0
644867,644867_2023-02-20,1,aud,2.242094031523509,false,vis,0.4117647058823529
644867,644867_2023-02-20,2,vis,2.036834131701388,false,vis,1.0
644867,644867_2023-02-20,2,vis,2.036834131701388,false,aud,0.5
644867,644867_2023-02-20,3,aud,2.5781494233398634,false,aud,1.0
644867,644867_2023-02-20,3,aud,2.5781494233398634,false,vis,0.3
644867,644867_2023-02-20,4,vis,2.455222297302619,false,aud,0.35
644867,644867_2023-02-20,4,vis,2.455222297302619,false,vis,1.0
644867,644867_2023-02-20,5,aud,1.6033604528187249,false,aud,1.0
644867,644867_2023-02-20,5,aud,1.6033604528187249,false,vis,0.6470588235294118
644867,644867_2023-02-22,0,vis,2.728238660827904,false,vis,1.0
644867,644867_2023-02-22,0,vis,2.728238660827904,false,aud,0.25
644867,644867_2023-02-22,1,aud,1.6684284442242547,false,vis,0.65
644867,644867_2023-02-22,1,aud,1.6684284442242547,false,aud,1.0
644867,644867_2023-02-22,2,vis,3.0732675211951777,false,vis,1.0
644867,644867_2023-02-22,2,vis,3.0732675211951777,false,aud,0.15
644867,644867_2023-02-22,3,aud,1.0330020030042792,false,vis,0.8333333333333334
644867,644867_2023-02-22,3,aud,1.0330020030042792,false,aud,1.0
644867,644867_2023-02-22,4,vis,2.670474132481089,false,vis,1.0
644867,644867_2023-02-22,4,vis,2.670474132481089,false,aud,0.2631578947368421
644867,644867_2023-02-22,5,aud,1.5420978693170864,false,vis,0.2631578947368421
644867,644867_2023-02-22,5,aud,1.5420978693170864,false,aud,0.7647058823529411
644867,644867_2023-02-23,0,aud,1.2573327802455638,true,vis,0.55
644867,644867_2023-02-23,0,aud,1.2573327802455638,true,aud,0.9473684210526315
644867,644867_2023-02-23,1,vis,2.670474132481089,true,vis,1.0
644867,644867_2023-02-23,1,vis,2.670474132481089,true,aud,0.2631578947368421
644867,644867_2023-02-23,2,aud,0.46316356131381253,true,vis,0.7368421052631579
