block_index,rewarded_modality,target,is_first_block_aud,cross_modality_dprime_mean,cross_modality_dprime_sem,response_rate_mean,response_rate_sem,n_subjects,n_sessions
0,vis,aud,false,2.7304626549336835,0.14097909308454287,0.21553422077673884,0.03565810114790699,30,45
0,vis,vis,false,2.7304626549336835,0.1409790930845429,0.968639156442304,0.013609580309078252,30,45
1,aud,aud,false,1.8571295161634311,0.11984314749685794,0.9438120628368306,0.015680751469538522,30,45
1,aud,vis,false,1.8571295161634311,0.11984314749685794,0.3955217496355267,0.032861497122313614,30,45
2,vis,aud,false,2.2270195062542304,0.11187930282601305,0.3274045407636739,0.03546812237954342,30,45
2,vis,vis,false,2.2270195062542304,0.11187930282601308,0.9675062656641604,0.012073127498636933,30,45
3,aud,vis,false,1.8248411152621922,0.1397612704076906,0.4447124346814749,0.044115522953432434,30,45
3,aud,aud,false,1.8248411152621922,0.13976127040769057,0.9603996513987484,0.0175224661825764,30,45
4,vis,aud,false,1.9079039715704162,0.16294059328242913,0.35825083883455916,0.03975984419177903,30,45
4,vis,vis,false,1.9079039715704162,0.16294059328242913,0.8767725277245402,0.04104884546412084,30,45
5,aud,aud,false,1.6461877085694832,0.1512892524342809,0.8691671717419911,0.04145786059051994,30,45
5,aud,vis,false,1.6461877085694832,0.1512892524342809,0.3783254705390929,0.03341686549766585,30,45
0,aud,aud,true,2.360621187152217,0.16567106366337356,0.9879354182557843,0.004914945616945527,23,37
0,aud,vis,true,2.360621187152217,0.16567106366337356,0.37482164490510167,0.051615522575531814,23,37
1,vis,vis,true,1.943673095681462,0.18761022400497962,0.9604474377643714,0.02117292951128571,23,37
1,vis,aud,true,1.943673095681462,0.18761022400497962,0.3979768528311401,0.052370055839951316,23,37
2,aud,aud,true,1.7798617255426914,0.1578829830920599,0.9602030438414878,0.01882907289083009,23,37
2,aud,vis,true,1.7798617255426914,0.15788298309205984,0.45136222554111904,0.050530591534161014,23,37
3,vis,aud,true,2.293125915800544,0.19518614699760026,0.32710473968382164,0.04871510359752028,23,37
3,vis,vis,true,2.293125915800544,0.19518614699760028,0.9576979266153449,0.027338845872729285,23,37
4,aud,aud,true,1.9375238129745644,0.16292768725221862,0.9503610668084352,0.021001381504084204,22,36
4,aud,vis,true,1.9375238129745644,0.16292768725221862,0.39021523282359194,0.04696303323496107,22,36
5,vis,vis,true,2.101551393524383,0.20634277160665174,0.9376967186423983,0.032847199283665945,22,36
5,vis,aud,true,2.101551393524383,0.20634277160665176,0.334031095466854,0.04140301376828329,22,36
